title,aka,genres,year,votes,rating
Man of Steel (2013),"['Autumn Frost (2012)', ""L'Homme d'acier (2013)"", ""L'uomo d'acciaio (2013)"", 'Man of Steel (2013)', 'Superman: Man of Steel (2012)', 'Untitled Superman Reboot (2013)']","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",[2013],562696,7.1
Harry Potter and the Deathly Hallows: Part 2 (2011),"['Harry Potter and the Deathly Hallows: Part 2 3D (2011)', 'Harry Potter e i Doni della Morte - Parte 2 (2011)', 'Harry Potter und die Heiligtümer des Todes - Teil 2 (2011)']","['Adventure', 'Drama', 'Fantasy', 'Mystery']",[2011],562543,8.1
Toy Story 3 (2010),"['3 (2010)', 'Toy Story 3 - La grande fuga (2010)', 'Toy Story 3: An IMAX 3D Experience (2010)']","['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",[2010],562217,8.3
Spider-Man (2002),"['Spider-Man (2002)', 'Spider-Man (2002)', 'Spider-Man (2002)', 'Spider-Man (2002)', 'Spider-Man (2002)', 'Spider-Man (2002)', 'Spider-Man (2002)', 'Spider-Man (2002)', 'Spider-Man: The Motion Picture (2001)', 'Spiderman (2002)']","['Action', 'Adventure']",[2002],556377,7.3
The Big Lebowski (1998),"['Il grande Lebowski (1998)', 'The Big Lebowski (1998)', 'The Big Lebowski (1998)']","['Comedy', 'Crime', 'Mystery']",[1998],554044,8.2
Scarface (1983),"['Al Pacino - Scarface (1984)', 'Scarface (1984)', 'Scarface - Toni, das Narbengesicht (1984)', 'Scarface - Toni, das Narbengesicht (1991)']","['Crime', 'Drama']",[1983],553107,8.3
Catch Me If You Can (2002),"['Arrête-moi si tu peux (2003)', 'Attrape-moi si tu peux (2003)', 'Catch Me If You Can (2002)', 'Catch me if you can - Mein Leben auf der Flucht (2003)', 'Prova a prendermi (2003)']","['Biography', 'Crime', 'Drama']",[2002],551201,8.0
Deadpool (2016),"['X-Men Origins: Deadpool (2009)', 'X-Men: Deadpool (2009)']","['Action', 'Adventure', 'Comedy', 'Romance', 'Sci-Fi']",[2016],551068,8.1
Thor (2011),"['Manhattan (2011)', 'The Mighty Thor (2010)', 'Thor, God of Thunder (2010)']","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",[2011],550734,7.0
Le fabuleux destin d'Amélie Poulain (2001),"['Amelie (2001)', 'Amélie (2001)', 'Amélie (2001)', 'Amélie (2001)', 'Amélie (2001)', 'Amélie (2001)', 'Amélie (2001)', 'Amélie (2001)', 'Amélie des Abbesses (1999)', 'Die fabelhafte Welt der Amelie (2001)', 'Il favoloso mondo di Amélie (2002)']","['Comedy', 'Romance']",[2001],549873,8.4
Cidade de Deus (2002),"['City of God (2002)', 'City of God (2002)', 'City of God (2002)', 'City of God (2002)', 'City of God (2002)', 'City of God (2002)', 'City of God (2003)', 'City of God (2003)', 'La cité de Dieu (2002)']","['Crime', 'Drama']",[2002],547662,8.7
Star Wars: Episode I - The Phantom Menace (1999),"['Star Wars I: The Phantom Menace (1999)', 'Star Wars: Episode I (1998)', 'Star Wars: Episode I - Die dunkle Bedrohung (1999)', 'Star Wars: Episode I - Die dunkle Bedrohung (1999)', 'Star Wars: Episode I - The Beginning (1998)', 'Star Wars: Episode I - The Phantom Menace (1999)', 'Star Wars: Episodio I - La minaccia fantasma (1999)', 'The Phantom Menace (1999)']","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",[1999],547586,6.5
Silver Linings Playbook (2012),"['Il lato positivo - Silver Linings Playbook (2012)', ""L'orlo argenteo delle nuvole (2012)"", 'Silver Linings (2012)', 'Silver Linings (2012)']","['Comedy', 'Drama', 'Romance']",[2012],546492,7.8
I Am Legend (2007),"['I Am Legend (2007)', 'I Am Legend (2007)', 'I Am Legend: The IMAX Experience (2007)', 'Io sono leggenda (2008)']","['Drama', 'Horror', 'Sci-Fi']",[2007],545050,7.2
District 9 (2009),"['District 9 (2009)', 'District 9 (2009)', 'District 9 (2009)', 'District Nine (2009)']","['Action', 'Sci-Fi', 'Thriller']",[2009],542540,8.0
Iron Man 2 (2010),"['Iron 2 Man (2010)', 'Iron Man 2: The IMAX Experience (2010)', 'Iron Man II (2010)', ""Murphy's Law (2010)"", 'Rasputin (2010)', 'Rasputin (2010)', 'The Adventures of Angus McDonald (2010)']","['Action', 'Adventure', 'Sci-Fi']",[2010],536395,7.0
Pirates of the Caribbean: Dead Man's Chest (2006),"['Fluch der Karibik - Die Truhe des Todes (2006)', 'Fluch der Karibik 2 (2006)', 'P.O.T.C. 2 (2006)', 'Pirates 2 (2006)', 'Pirates of the Caribbean - Fluch der Karibik 2 (2006)', 'Pirates of the Caribbean 2 (2005)', ""Pirates of the Caribbean: Dead Man's Chest (2006)"", 'Pirati dei Caraibi - La maledizione del forziere fantasma (2006)']","['Action', 'Adventure', 'Fantasy']",[2006],534040,7.3
Star Wars: Episode III - Revenge of the Sith (2005),"['Revenge of the Sith (2005)', 'Star Wars III: Revenge of the Sith (2005)', 'Star Wars: Episode III (2003)', 'Star Wars: Episode III - Die Rache der Sith (2005)', 'Star Wars: Episode III - Die Rache der Sith (2005)', 'Star Wars: Episode III - Revenge of the Sith (2005)', 'Star Wars: Episode III - Revenge of the Sith 3D (2005)', 'Star Wars: Episodio III - La vendetta dei Sith (2005)', 'Star Wars: Revenge of the Sith (2005)']","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",[2005],533328,7.6
